role_k1500,role_k1000,role_k500,role_k300,role_k150,role_k50,job_category,onet_code,onet_title
business developer,Business Developer,Business Development,Business Development,Account Manager,Sales Associate,Sales,11-2021.00,Marketing Managers
business development,Business Development,Business Development,Business Development,Account Manager,Sales Associate,Sales,11-2021.00,Marketing Managers
business development analyst,Business Development Analyst,Market Research,Market Research,Market Research,Product Manager,Sales,13-1161.00,Market Research Analysts and Marketing Specialists
business development consultant,Business Development Consultant,Business Development,Business Development,Account Manager,Sales Associate,Sales,11-2021.00,Marketing Managers
business development officer,Business Development Officer,Business Development Officer,Business Manager,Client Services,Client Services,Finance,11-2021.00,Marketing Managers
business development representative,Senior Sales Development Representative,Senior Sales Development Representative,Senior Sales Development Representative,Customer Success Specialist,Sales Associate,Sales,11-2011.00,Advertising and Promotions Managers
business finance,Finance Business Manager,Finance Business Manager,Financial Analyst,Financial Analyst,Accountant,Finance,13-2051.00,Financial and Investment Analysts
business intelligence,Business Intelligence,Analytics Specialist,Analytics Specialist,Data Scientist,Data Analyst,Engineer,15-2051.01,Business Intelligence Analysts
business intelligence analyst,Business Intelligence Analyst,Analytics Specialist,Analytics Specialist,Data Scientist,Data Analyst,Engineer,15-2051.01,Business Intelligence Analysts
business intelligence consultant,Business Intelligence Consultant,Data Engineer,Data Engineer,Data Engineer,Software Engineer,Engineer,15-1243.01,Data Warehousing Specialists
business intelligence developer,Business Intelligence Consultant,Data Engineer,Data Engineer,Data Engineer,Software Engineer,Engineer,15-1243.01,Data Warehousing Specialists
business operations,Business Operations,Business Operations,Business Operations,Business Operations,Business Operations,Operations,13-2051.00,Financial and Investment Analysts
business operations analyst,Business Operations Analyst,Business Operations Analyst,Business Operations,Business Operations,Business Operations,Operations,13-1111.00,Management Analysts
business planning,Business Planning Manager,Business Planning Manager,Financial Analyst,Financial Analyst,Accountant,Finance,13-2051.00,Financial and Investment Analysts
business planning analyst,Business Planning Analyst,Planning Analyst,Operations Analyst,Business Operations,Business Operations,Operations,13-2051.00,Financial and Investment Analysts
business process,Business Process Specialist,Business Process Specialist,Business Process Specialist,Business Process Specialist,Delivery Manager,Engineer,13-1111.00,Management Analysts
business process analyst,Business Process Specialist,Business Process Specialist,Business Process Specialist,Business Process Specialist,Delivery Manager,Engineer,13-1111.00,Management Analysts
business process consultant,Business Process Consultant,Business Process Specialist,Business Process Specialist,Business Process Specialist,Delivery Manager,Engineer,13-1111.00,Management Analysts
business project,Business Project Manager,Project Consultant,Project Manager,Project Manager,Project Manager,Operations,13-1082.00,Project Management Specialists
business relationship,Business Relationship Manager,Relationship Manager,Client Services,Client Services,Client Services,Finance,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
business sales,Business Account Manager,Business Account Manager,Senior Sales Development Representative,Customer Success Specialist,Sales Associate,Sales,11-2022.00,Sales Managers
business services,Business Services,Business Support,Business Support,Business Support,Client Services,Finance,11-3012.00,Administrative Services Managers
business solutions,Solutions Specialist,Solutions Specialist,Solutions Specialist,Solutions Specialist,Solutions Specialist,Sales,13-1111.00,Management Analysts
business strategy,Strategy and Business Development,Strategy Consultant,Corporate Strategy,Corporate Strategy,Product Manager,Sales,13-2099.01,Financial Quantitative Analysts
business support,Business Support,Business Support,Business Support,Business Support,Client Services,Finance,11-3012.00,Administrative Services Managers
business system analyst,Business Systems Analyst,Business Systems Analyst,Business Systems Analyst,IT Project Manager,IT Project Manager,Engineer,15-1299.06,Digital Forensics Analysts
business systems,Business Systems Specialist,Business Systems Specialist,IT Project Manager,IT Project Manager,IT Project Manager,Engineer,15-1299.09,Information Technology Project Managers
business systems analyst,Business Systems Analyst,Business Systems Analyst,Business Systems Analyst,IT Project Manager,IT Project Manager,Engineer,15-1299.06,Digital Forensics Analysts
business systems consultant,Business Systems Consultant,Business Systems Analyst,Business Systems Analyst,IT Project Manager,IT Project Manager,Engineer,15-1299.06,Digital Forensics Analysts
business transformation,Business Transformation,Transformation Specialist,Transformation Specialist,Transformation Specialist,Delivery Manager,Engineer,13-1199.04,Business Continuity Planners
buyer,Buyer,Buyer,Buyer,Procurement Specialist,Logistics,Operations,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
buyer planner,Buyer/Planner,Buyer/Planner,Supply Chain Specialist,Logistics,Logistics,Operations,13-1021.00,"Buyers and Purchasing Agents, Farm Products"
buying,Buying Specialist,Merchandiser,Merchandiser,Merchandiser,Merchandiser,Sales,27-1026.00,Merchandise Displayers and Window Trimmers
cabin crew,Flight Attendant,Flight Attendant,Flight Attendant,Receptionist,Receptionist,Sales,53-2031.00,Flight Attendants
cad designer,Technical Designer,Technical Designer,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,Engineer,17-3012.00,Electrical and Electronics Drafters
cad engineer,Technical Designer,Technical Designer,Mechanical Engineer,Mechanical Engineer,Mechanical Engineer,Engineer,17-3013.00,Mechanical Drafters
caissière,Caissière,Cajero,Conseiller commercial,Conseiller commercial,Cashier,Sales,43-4171.00,Receptionists and Information Clerks
cajero,Cajero,Cajero,Conseiller commercial,Conseiller commercial,Cashier,Sales,41-2012.00,Gambling Change Persons and Booth Cashiers
cake decorator,Baker,Baker,Cook,Crew Member,Crew Member,Sales,51-3011.00,Bakers
call center,Call Center Operator,Call Center Operator,Call Center Operator,Customer Service,Customer Service,Sales,43-4051.00,Customer Service Representatives
call center agent,Call Center Representative,Customer Service Agent,Customer Service,Customer Service,Customer Service,Sales,43-4051.00,Customer Service Representatives
call center representative,Call Center Representative,Customer Service Agent,Customer Service,Customer Service,Customer Service,Sales,43-4051.00,Customer Service Representatives
campaign,Campaign Specialist,Campaign Specialist,Public Relations,Public Relations,Communications Specialist,Marketing,11-2032.00,Public Relations Managers
campus ambassador,Campus Ambassador,Ambassador,Host,Coach,Coordinator,Admin,13-1131.00,Fundraisers
capital markets,Capital Markets,Investment Specialist,Investment Specialist,Investment Specialist,Investment Specialist,Finance,11-3031.03,Investment Fund Managers
captain,Captain,Pilot,Pilot,Pilot,Receptionist,Sales,53-5021.00,"Captains, Mates, and Pilots of Water Vessels"
care,Care Management Associate,Healthcare Specialist,Case Manager,Case Manager,Medical Rep,Scientist,31-1133.00,Psychiatric Aides
carpenter,Carpenter,Foreman,Foreman,Foreman,Machine Operator,Engineer,47-3012.00,Helpers--Carpenters
case,Case Manager,Case Manager,Case Manager,Case Manager,Medical Rep,Scientist,43-4061.00,"Eligibility Interviewers, Government Programs"
cash,Cash Manager,Cash Manager,Cash Manager,Billing Specialist,Billing Specialist,Finance,43-3041.00,Gambling Cage Workers
cashier,Cashier,Cashier,Cashier,Cashier,Cashier,Sales,41-2012.00,Gambling Change Persons and Booth Cashiers
cashier customer service,Cashier,Cashier,Cashier,Cashier,Cashier,Sales,41-2012.00,Gambling Change Persons and Booth Cashiers
cashier sales,Sales Associate Cashier,Sales Floor Associate,Sales Floor Associate,Cashier,Cashier,Sales,41-2011.00,Cashiers
cast,Cast Member,Game Associate,Crew Member,Crew Member,Crew Member,Sales,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers"
catering,Catering Specialist,Bartender,Bartender,Crew Member,Crew Member,Sales,39-1014.00,"First-Line Supervisors of Entertainment and Recreation Workers, Except Gambling Services"
center,Center Manager,Center Manager,Coordinator,Coordinator,Coordinator,Admin,11-9033.00,"Education Administrators, Postsecondary"
central,Central Region Manager,Central Region Manager,Commercial Manager,Commercial Manager,Sales Associate,Sales,11-3031.00,Financial Managers
cfo,CFO,CFO,CFO,Accountant,Accountant,Finance,11-3031.01,Treasurers and Controllers
change,Change Manager,Change Manager,Change Manager,Transformation Specialist,Delivery Manager,Engineer,13-1199.04,Business Continuity Planners
change analyst,Change Analyst,Change Manager,Change Manager,Transformation Specialist,Delivery Manager,Engineer,13-1199.04,Business Continuity Planners
change consultant,Change Management Consultant,Change Manager,Change Manager,Transformation Specialist,Delivery Manager,Engineer,13-1199.04,Business Continuity Planners
checkout,Checkout Operator,Postman,Cashier,Cashier,Cashier,Sales,41-2012.00,Gambling Change Persons and Booth Cashiers
chef,Chef,Chef,Restaurant Manager,Restaurant Manager,Crew Member,Sales,35-2013.00,"Cooks, Private Household"
chemical,Chemical Operator,Chemical Engineer,Chemical Engineer,Laboratory Technician,Quality Assurance,Engineer,19-4031.00,Chemical Technicians
chemical engineer,Chemical Engineer,Chemical Engineer,Chemical Engineer,Laboratory Technician,Quality Assurance,Engineer,17-2041.00,Chemical Engineers
chemist,Chemist,Chemical Engineer,Chemical Engineer,Laboratory Technician,Quality Assurance,Engineer,19-2031.00,Chemists
civil engineer,Civil Engineer,Civil Engineer,Civil Engineer,Construction Manager,Technical Architect,Engineer,17-2051.00,Civil Engineers
claim,Claims Specialist,Claims Specialist,Claims Specialist,Claims Specialist,Claims Specialist,Finance,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
claims,Claims Specialist,Claims Specialist,Claims Specialist,Claims Specialist,Claims Specialist,Finance,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
claims adjuster,Claims Adjuster,Claims Specialist,Claims Specialist,Claims Specialist,Claims Specialist,Finance,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
claims analyst,Claims Analyst,Claims Specialist,Claims Specialist,Claims Specialist,Claims Specialist,Finance,43-9041.00,Insurance Claims and Policy Processing Clerks
claims examiner,Claims Adjuster,Claims Specialist,Claims Specialist,Claims Specialist,Claims Specialist,Finance,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
claims representative,Claims Adjuster,Claims Specialist,Claims Specialist,Claims Specialist,Claims Specialist,Finance,13-1031.00,"Claims Adjusters, Examiners, and Investigators"
cleaner,Cleaner,Cleaner,Cleaner,Cleaner,Cashier,Sales,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
clerical,Clerical,Administrative Support,Administrative Support,Information Specialist,Operations Administrator,Admin,43-4071.00,File Clerks
client,Client Specialist,Client Specialist,Client Services,Client Services,Client Services,Finance,43-4011.00,Brokerage Clerks
client account,Client Relationship Manager,Client Specialist,Client Services,Client Services,Client Services,Finance,11-2011.00,Advertising and Promotions Managers
client relations,Client Relations,Client Services,Client Services,Client Services,Client Services,Finance,11-2011.00,Advertising and Promotions Managers
client relationship,Client Relationship Manager,Client Specialist,Client Services,Client Services,Client Services,Finance,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents"
client service,Client Service Professional,Client Specialist,Client Services,Client Services,Client Services,Finance,43-4141.00,New Accounts Clerks
client service representative,Client Service Representative,Service Representative,Service Representative,Customer Service,Customer Service,Sales,43-4051.00,Customer Service Representatives
client services,Client Services,Client Services,Client Services,Client Services,Client Services,Finance,11-2011.00,Advertising and Promotions Managers
client solutions,Client Solutions,Senior Sales Development Representative,Senior Sales Development Representative,Customer Success Specialist,Sales Associate,Sales,11-2011.00,Advertising and Promotions Managers
client support,Client Support Specialist,Customer Solutions Specialist,Customer Solutions Specialist,Customer Support,Customer Service,Sales,43-4051.00,Customer Service Representatives
